product_id,date_type,research_date,price
1004,m,2015-01-01,6316.0
1004,m,2015-02-01,6314.0
1004,m,2015-03-01,6348.0
1004,m,2015-04-01,6341.0
1004,m,2015-05-01,6314.0
1004,m,2015-06-01,6295.0
1004,m,2015-07-01,6347.0
1004,m,2015-08-01,6401.0
1004,m,2015-09-01,6379.0
1004,m,2015-10-01,6336.0
1004,m,2015-11-01,6288.0
1004,m,2015-12-01,6238.0
1004,m,2016-01-01,6207.0
1004,m,2016-02-01,6203.0
1004,m,2016-03-01,6203.0
1004,m,2016-04-01,6184.0
1004,m,2016-05-01,6208.0
1004,m,2016-06-01,6209.0
1004,m,2016-07-01,6214.0
1004,m,2016-08-01,6357.0
1004,m,2016-09-01,6462.0
1004,m,2016-10-01,6343.0
1004,m,2016-11-01,6323.0
1004,m,2016-12-01,6385.0
1004,m,2017-01-01,6459.0
1004,m,2017-02-01,6442.0
1004,m,2017-03-01,6436.0
1004,m,2017-04-01,6426.0
1004,m,2017-05-01,6520.0
1004,m,2017-06-01,6540.0
1004,m,2017-07-01,6521.0
1004,m,2017-08-01,6530.0
1004,m,2017-09-01,6588.0
1004,m,2017-10-01,6680.0
1004,m,2017-11-01,6696.0
1004,m,2017-12-01,6616.0
1004,m,2018-01-01,6626.0
1004,m,2018-02-01,6955.0
1004,m,2018-03-01,7141.0
1004,m,2018-04-01,7232.0
1004,m,2018-05-01,7213.0
1004,m,2018-06-01,7208.0
1004,m,2018-07-01,7089.0
1004,m,2018-08-01,7159.0
1004,m,2018-09-01,7316.0
1004,m,2018-10-01,7190.0
1004,m,2018-11-01,6778.0
1004,m,2018-12-01,6645.0
1004,m,2019-01-01,6747.0
1004,m,2019-02-01,6855.0
1004,m,2019-03-01,6918.0
1004,m,2019-04-01,6837.0
1004,m,2019-05-01,6882.0
1004,m,2019-06-01,6878.0
1004,m,2019-07-01,6902.0
1004,m,2019-08-01,6914.0
1004,m,2019-09-01,6868.0
1004,m,2019-10-01,6873.0
1004,m,2019-11-01,6903.0
1004,m,2019-12-01,7040.0
1004,m,2020-01-01,6994.0
1004,m,2020-02-01,7003.0
1004,m,2020-03-01,7002.0
1004,m,2020-04-01,7023.0
1004,m,2020-05-01,7015.0
1004,m,2020-06-01,7106.0
1004,m,2020-07-01,7236.0
1004,m,2020-08-01,7304.0
1004,m,2020-09-01,7844.0
1004,m,2020-10-01,8756.0
1004,m,2020-11-01,9190.0
1004,m,2020-12-01,9485.0
1004,m,2021-01-01,9896.0
1004,m,2021-02-01,10237.0
1004,m,2021-03-01,10406.0
1004,m,2021-04-01,10662.0
1004,m,2021-05-01,10805.0
1004,m,2021-06-01,10970.0
1004,m,2021-07-01,11315.0
1004,m,2021-08-01,11176.0
1004,m,2021-09-01,11059.0
1004,m,2021-10-01,11220.0
1004,m,2021-11-01,11118.0
1004,m,2021-12-01,11059.0
1004,m,2022-01-01,11114.0
1004,m,2022-02-01,11149.0
